snake,cost,num_actions
4,25,2
5,37,3
6,45,3
7,39,4
8,22,4
9,15,2
10,43,9
11,25,2
12,66,11
13,20,4
14,16,2
15,31,4
16,40,2
17,28,5
18,25,2
19,9,1
20,16,2
21,19,2
22,32,3
23,20,3
24,30,6
25,31,4
26,13,3
27,33,4
28,26,2
29,23,5
30,31,5
31,37,3
32,37,6
33,39,6
34,33,4
35,23,4
36,62,7
37,8,2
38,37,4
39,27,4
40,46,3
41,69,5
42,44,2
43,70,10
44,26,3
4,37,6
5,24,6
snake,cost,num_actions
4,11,2
5,14,0
6,19,4
7,34,7
8,18,4
9,29,4
10,32,4
11,25,3
12,26,4
13,15,2
14,29,4
